,CNTY_NM,X (Lat),Y (Long),CNTY_NBR,FIPS,time,temp,coco,WIND_recu_mw,NG_recu_mw,COAL_recu_mw,SOLAR_recu_mw,ESR_recu_mw,HYDRO_recu_mw,NUCLEAR_recu_mw
65,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 17:00:00,2.0,,374,0,0,0,0,0,0
66,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 18:00:00,2.0,,374,0,0,0,0,0,0
67,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 19:00:00,2.0,,374,0,0,0,0,0,0
68,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 20:00:00,2.0,,374,0,0,0,0,0,0
69,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 21:00:00,2.0,,374,0,0,0,0,0,0
70,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 22:00:00,2.0,,374,0,0,0,0,0,0
71,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 23:00:00,2.0,,374,0,0,0,0,0,0
72,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 00:00:00,2.0,,374,0,0,0,0,0,0
73,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 01:00:00,2.0,,374,0,0,0,0,0,0
74,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 02:00:00,2.0,,374,0,0,0,0,0,0
75,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 03:00:00,2.0,,374,0,0,0,0,0,0
76,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 04:00:00,2.0,,374,0,0,0,0,0,0
77,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 05:00:00,2.0,,374,0,0,0,0,0,0
78,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 06:00:00,1.0,,374,0,0,0,0,0,0
79,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 07:00:00,1.0,,374,0,0,0,0,0,0
80,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 08:00:00,1.0,,374,0,0,0,0,0,0
81,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 09:00:00,1.0,,374,0,0,0,0,0,0
82,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 10:00:00,0.0,,374,0,0,0,0,0,0
83,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 11:00:00,0.0,,374,0,0,0,0,0,0
84,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 12:00:00,0.0,,374,0,0,0,0,0,0
85,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 13:00:00,0.0,,374,0,0,0,0,0,0
86,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 14:00:00,0.0,,374,0,0,0,0,0,0
87,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 15:00:00,0.0,,331,0,0,0,0,0,0
88,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 16:00:00,0.0,,372,0,0,0,0,0,0
89,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 17:00:00,0.0,,348,0,0,0,0,0,0
90,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 18:00:00,0.0,,348,0,0,0,0,0,0
91,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 19:00:00,0.0,,348,0,0,0,0,0,0
92,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 20:00:00,0.0,,348,0,0,0,0,0,0
93,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 21:00:00,0.0,,348,0,0,0,0,0,0
94,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 22:00:00,0.0,,348,0,0,0,0,0,0
95,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-13 23:00:00,0.0,,348,0,0,0,0,0,0
96,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 00:00:00,0.0,,348,0,0,0,0,0,0
97,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 01:00:00,0.0,,348,0,0,0,0,0,0
98,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 02:00:00,0.0,,348,0,0,0,0,0,0
99,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 03:00:00,0.0,,426,0,0,0,0,0,0
100,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 04:00:00,0.0,,426,0,0,0,0,0,0
101,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 05:00:00,0.0,,426,0,0,0,0,0,0
102,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 06:00:00,0.0,,426,0,0,0,0,0,0
103,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 07:00:00,-1.0,,426,0,0,0,0,0,0
104,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 08:00:00,-1.0,,426,0,0,0,0,0,0
105,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 09:00:00,-1.0,,426,0,0,0,0,0,0
106,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 10:00:00,-1.0,,426,0,0,0,0,0,0
107,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 11:00:00,-1.0,,426,0,0,0,0,0,0
108,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 12:00:00,-1.0,,426,0,0,0,0,0,0
109,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 13:00:00,-1.0,,426,0,0,0,0,0,0
110,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 14:00:00,-1.0,,426,0,0,0,0,0,0
111,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 15:00:00,0.0,,426,0,0,0,0,0,0
112,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 16:00:00,0.0,,426,0,0,0,0,0,0
113,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 17:00:00,0.0,,426,0,0,0,0,0,0
114,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 18:00:00,0.0,,426,0,0,0,0,0,0
115,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 19:00:00,1.0,,426,0,0,0,0,0,0
116,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 20:00:00,1.0,,426,0,0,0,0,0,0
117,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 21:00:00,0.0,,426,0,0,0,0,0,0
118,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 22:00:00,0.0,,426,0,0,0,0,0,0
119,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-14 23:00:00,-1.0,,426,0,0,0,0,0,0
120,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 00:00:00,-1.0,,651,0,0,0,0,0,0
121,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 01:00:00,-3.0,,651,0,0,0,0,0,0
122,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 02:00:00,-3.0,,891,0,0,0,0,0,0
123,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 03:00:00,-3.0,,911,0,0,0,0,0,0
124,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 04:00:00,-3.0,,926,0,0,0,0,0,0
125,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 05:00:00,-4.0,,941,0,0,0,0,0,0
